ts,job_id,state,duration_ms,running_count,cp_completed,cp_failed,cp_inprogress,cp_last_dur_ms,cp_last_size,cp_total_count,num_cp_history
1777362455.3478265,2d966bebd813d4fc453e7505ba297640,RUNNING,64478,0,2,0,1,6106,0,3,3
1777362457.355598,2d966bebd813d4fc453e7505ba297640,RUNNING,66485,0,2,0,1,6106,0,3,3
1777362459.3631887,2d966bebd813d4fc453e7505ba297640,RUNNING,68493,0,2,0,1,6106,0,3,3
1777362461.3716753,2d966bebd813d4fc453e7505ba297640,RUNNING,70501,0,2,0,1,6106,0,3,3
1777362463.3799505,2d966bebd813d4fc453e7505ba297640,RUNNING,72510,0,2,0,1,6106,0,3,3
1777362465.3883533,2d966bebd813d4fc453e7505ba297640,RUNNING,74518,0,2,0,1,6106,0,3,3
1777362467.3961155,2d966bebd813d4fc453e7505ba297640,RUNNING,76526,0,2,0,1,6106,0,3,3
1777362469.4037242,2d966bebd813d4fc453e7505ba297640,RUNNING,78533,0,2,0,1,6106,0,3,3
1777362471.411698,2d966bebd813d4fc453e7505ba297640,RUNNING,80542,0,2,0,1,6106,0,3,3
1777362473.4196367,2d966bebd813d4fc453e7505ba297640,RUNNING,82549,0,2,0,1,6106,0,3,3
1777362475.4267976,2d966bebd813d4fc453e7505ba297640,RUNNING,84556,0,2,0,1,6106,0,3,3
1777362477.4349658,2d966bebd813d4fc453e7505ba297640,RUNNING,86564,0,2,0,1,6106,0,3,3
1777362479.442551,2d966bebd813d4fc453e7505ba297640,RUNNING,88572,0,2,0,1,6106,0,3,3
1777362481.450033,2d966bebd813d4fc453e7505ba297640,RUNNING,90579,0,2,0,1,6106,0,3,3
1777362483.4578333,2d966bebd813d4fc453e7505ba297640,RUNNING,92588,0,2,0,1,6106,0,3,3
1777362485.466528,2d966bebd813d4fc453e7505ba297640,RUNNING,94596,0,2,0,1,6106,0,3,3
1777362487.4743927,2d966bebd813d4fc453e7505ba297640,RUNNING,96604,0,2,0,1,6106,0,3,3
1777362489.482308,2d966bebd813d4fc453e7505ba297640,RUNNING,98611,0,2,0,1,6106,0,3,3
1777362491.4878228,2d966bebd813d4fc453e7505ba297640,RUNNING,100617,0,2,0,1,6106,0,3,3
1777362493.495994,2d966bebd813d4fc453e7505ba297640,RUNNING,102626,0,2,0,1,6106,0,3,3
1777362495.503034,2d966bebd813d4fc453e7505ba297640,RESTARTING,104634,0,2,2,0,6106,0,4,3
1777362497.5127096,2d966bebd813d4fc453e7505ba297640,RESTARTING,106642,0,2,2,0,6106,0,4,3
1777362499.519737,2d966bebd813d4fc453e7505ba297640,RESTARTING,108649,0,2,2,0,6106,0,4,3
1777362501.5269487,2d966bebd813d4fc453e7505ba297640,RESTARTING,110656,0,2,2,0,6106,0,4,3
1777362503.5334158,2d966bebd813d4fc453e7505ba297640,RESTARTING,112663,0,2,2,0,6106,0,4,3
1777362505.5412004,2d966bebd813d4fc453e7505ba297640,RESTARTING,114670,0,2,2,0,6106,0,4,3
1777362507.547828,2d966bebd813d4fc453e7505ba297640,RESTARTING,116677,0,2,2,0,6106,0,4,3
1777362509.5553095,2d966bebd813d4fc453e7505ba297640,RESTARTING,118684,0,2,2,0,6106,0,4,3
1777362511.5622687,2d966bebd813d4fc453e7505ba297640,RESTARTING,120692,0,2,2,0,6106,0,4,3
1777362513.5702755,2d966bebd813d4fc453e7505ba297640,RESTARTING,122700,0,2,2,0,6106,0,4,3
1777362515.5778382,2d966bebd813d4fc453e7505ba297640,RESTARTING,124708,0,2,2,0,6106,0,4,3
1777362517.5846367,2d966bebd813d4fc453e7505ba297640,RESTARTING,126714,0,2,2,0,6106,0,4,3
1777362519.5908844,2d966bebd813d4fc453e7505ba297640,RESTARTING,128720,0,2,2,0,6106,0,4,3
1777362521.5973651,2d966bebd813d4fc453e7505ba297640,RESTARTING,130726,0,2,2,0,6106,0,4,3
1777362523.6050453,2d966bebd813d4fc453e7505ba297640,RESTARTING,132735,0,2,2,0,6106,0,4,3
1777362525.611918,2d966bebd813d4fc453e7505ba297640,RESTARTING,134741,0,2,2,0,6106,0,4,3
1777362527.6196463,2d966bebd813d4fc453e7505ba297640,RESTARTING,136749,0,2,2,0,6106,0,4,3
1777362529.6275961,2d966bebd813d4fc453e7505ba297640,RESTARTING,138756,0,2,2,0,6106,0,4,3
1777362531.6338518,2d966bebd813d4fc453e7505ba297640,RESTARTING,140763,0,2,2,0,6106,0,4,3
1777362533.6406264,2d966bebd813d4fc453e7505ba297640,RESTARTING,142770,0,2,2,0,6106,0,4,3
1777362535.646743,2d966bebd813d4fc453e7505ba297640,RESTARTING,144776,0,2,2,0,6106,0,4,3
1777362537.6541214,2d966bebd813d4fc453e7505ba297640,RESTARTING,146783,0,2,2,0,6106,0,4,3
1777362539.6600077,2d966bebd813d4fc453e7505ba297640,RESTARTING,148789,0,2,2,0,6106,0,4,3
1777362541.6674984,2d966bebd813d4fc453e7505ba297640,RESTARTING,150796,0,2,2,0,6106,0,4,3
1777362543.6749697,2d966bebd813d4fc453e7505ba297640,RUNNING,152805,1,2,2,0,6106,0,4,3
1777362545.6829066,2d966bebd813d4fc453e7505ba297640,RUNNING,154812,1,2,2,0,6106,0,4,3
1777362547.6909444,2d966bebd813d4fc453e7505ba297640,RUNNING,156821,1,2,2,1,6106,0,5,4
1777362549.6978238,2d966bebd813d4fc453e7505ba297640,RUNNING,158827,1,2,2,1,6106,0,5,4
1777362551.7052875,2d966bebd813d4fc453e7505ba297640,RUNNING,160835,1,3,2,0,1791,0,5,4
1777362553.7134628,2d966bebd813d4fc453e7505ba297640,RUNNING,162842,1,3,2,0,1791,0,5,4
1777362555.720969,2d966bebd813d4fc453e7505ba297640,RUNNING,164851,1,3,2,0,1791,0,5,4
1777362557.7293813,2d966bebd813d4fc453e7505ba297640,RUNNING,166858,1,3,2,0,1791,0,5,4
1777362559.7365465,2d966bebd813d4fc453e7505ba297640,RUNNING,168866,1,3,2,1,1791,0,6,5
1777362561.74417,2d966bebd813d4fc453e7505ba297640,RUNNING,170873,1,3,2,1,1791,0,6,5
1777362563.7510674,2d966bebd813d4fc453e7505ba297640,RUNNING,172881,1,3,2,1,1791,0,6,5
1777362565.759089,2d966bebd813d4fc453e7505ba297640,RUNNING,174888,1,3,2,1,1791,0,6,5
1777362567.7650833,2d966bebd813d4fc453e7505ba297640,RUNNING,176894,1,3,2,1,1791,0,6,5
1777362569.7726731,2d966bebd813d4fc453e7505ba297640,RUNNING,178902,1,3,2,1,1791,0,6,5
1777362571.7781672,2d966bebd813d4fc453e7505ba297640,RUNNING,180907,1,3,2,1,1791,0,6,5
1777362573.7851512,2d966bebd813d4fc453e7505ba297640,RUNNING,182914,1,3,2,1,1791,0,6,5
1777362575.7925842,2d966bebd813d4fc453e7505ba297640,RUNNING,184922,1,3,2,1,1791,0,6,5
1777362577.8003805,2d966bebd813d4fc453e7505ba297640,RUNNING,186929,1,3,2,1,1791,0,6,5
1777362579.807391,2d966bebd813d4fc453e7505ba297640,RUNNING,188937,1,3,2,1,1791,0,6,5
1777362581.8145974,2d966bebd813d4fc453e7505ba297640,RUNNING,190943,1,3,2,1,1791,0,6,5
